Clock|Clear|Input1        |Input2        |OpCode   |OUT           |State
-----+-----+--------------+--------------+---------+--------------+-------------
0    |0    |00000000 (  0)|00000000 (  0)|001 (Add)|xxxxxxxx (  x)|Da` D Cp Rapald
0    |1    |00000000 (  0)|00000000 (  0)|001 (Add)|00000000 (  0)|First Operation
0    |0    |00000001 (  1)|00000001 (  1)|001 (Add)|00000010 (  2)|First Operation
0    |0    |00000001 (  1)|00000000 (  0)|001 (Add)|00000011 (  3)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|001 (Add)|00000100 (  4)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|001 (Add)|00000101 (  5)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|001 (Add)|00000110 (  6)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|001 (Add)|00000111 (  7)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|001 (Add)|00001000 (  8)|Use Last Result
0    |1    |00000000 (  0)|00000000 (  0)|010 (Sub)|00000000 (  0)|First Operation
0    |0    |00001111 ( 15)|00000001 (  1)|010 (Sub)|00001110 ( 14)|First Operation
0    |0    |00000001 (  1)|00000000 (  0)|010 (Sub)|00001101 ( 13)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|010 (Sub)|00001100 ( 12)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|010 (Sub)|00001011 ( 11)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|010 (Sub)|00001010 ( 10)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|010 (Sub)|00001001 (  9)|Use Last Result
0    |0    |00000001 (  1)|00000000 (  0)|010 (Sub)|00001000 (  8)|Use Last Result
0    |1    |00000000 (  0)|00000000 (  0)|011 (Mul)|00000000 (  0)|First Operation
0    |0    |00000010 (  2)|00000010 (  2)|011 (Mul)|00000100 (  4)|First Operation
0    |0    |00000010 (  2)|00000000 (  0)|011 (Mul)|00001000 (  8)|Use Last Result
0    |0    |00000010 (  2)|00000000 (  0)|011 (Mul)|00010000 ( 16)|Use Last Result
0    |0    |00000010 (  2)|00000000 (  0)|011 (Mul)|00100000 ( 32)|Use Last Result
0    |0    |00000010 (  2)|00000000 (  0)|011 (Mul)|01000000 ( 64)|Use Last Result
0    |0    |00000010 (  2)|00000000 (  0)|011 (Mul)|10000000 (128)|Use Last Result
0    |0    |00000010 (  2)|00000000 (  0)|011 (Mul)|00000000 (  0)|Use Last Result
0    |1    |00000000 (  0)|00000000 (  0)|100 (And)|00000000 (  0)|First Operation
0    |0    |11111111 (255)|01111110 (126)|100 (And)|01111110 (126)|First Operation
0    |0    |00111100 ( 60)|00000000 (  0)|100 (And)|00111100 ( 60)|Use Last Result
0    |0    |00011000 ( 24)|00000000 (  0)|100 (And)|00011000 ( 24)|Use Last Result
0    |0    |00000000 (  0)|00000000 (  0)|100 (And)|00000000 (  0)|Use Last Result
0    |1    |00000000 (  0)|00000000 (  0)|101 (Or )|00000000 (  0)|First Operation
0    |0    |10000000 (128)|00000001 (  1)|101 (Or )|10000001 (129)|First Operation
0    |0    |01000000 ( 64)|00000000 (  0)|101 (Or )|11000001 (193)|Use Last Result
0    |0    |00000010 (  2)|00000000 (  0)|101 (Or )|11000011 (195)|Use Last Result
0    |0    |00100000 ( 32)|00000000 (  0)|101 (Or )|11100011 (227)|Use Last Result
0    |0    |00000100 (  4)|00000000 (  0)|101 (Or )|11100111 (231)|Use Last Result
0    |0    |00010000 ( 16)|00000000 (  0)|101 (Or )|11110111 (247)|Use Last Result
0    |0    |00001000 (  8)|00000000 (  0)|101 (Or )|11111111 (255)|Use Last Result
0    |1    |00000000 (  0)|00000000 (  0)|111 (Xor)|00000000 (  0)|First Operation
0    |0    |11000000 (192)|11110000 (240)|111 (Xor)|00110000 ( 48)|First Operation
0    |0    |00111100 ( 60)|00000000 (  0)|111 (Xor)|00001100 ( 12)|Use Last Result
0    |0    |00001111 ( 15)|00000000 (  0)|111 (Xor)|00000011 (  3)|Use Last Result
0    |0    |00000011 (  3)|00000000 (  0)|111 (Xor)|00000000 (  0)|Use Last Result
0    |1    |00000000 (  0)|00000000 (  0)|110 (Not)|00000000 (  0)|First Operation
0    |0    |00001111 ( 15)|00000000 (  0)|110 (Not)|11110000 (240)|First Operation
0    |0    |00000000 (  0)|00000000 (  0)|110 (Not)|00001111 ( 15)|Use Last Result
0    |0    |00000000 (  0)|00000000 (  0)|110 (Not)|11110000 (240)|Use Last Result
0    |0    |00000000 (  0)|00000000 (  0)|110 (Not)|00001111 ( 15)|Use Last Result
** VVP Stop(0) **
** Flushing output streams.
** Current simulation time is 480 ticks.
